Date,test_actual,test_forecast
2025-01-16,591.6400146484375,471.2926
2025-01-17,597.5800170898438,486.83517
2025-01-21,603.0499877929688,500.70847
2025-01-22,606.4400024414062,513.9641
2025-01-23,609.75,526.7722
2025-01-24,607.969970703125,539.22705
2025-01-27,599.3699951171875,551.14014
2025-01-28,604.52001953125,561.7902
2025-01-29,601.8099975585938,573.0042
2025-01-30,605.0399780273438,583.4594
2025-01-31,601.8200073242188,595.1656
2025-02-03,597.77001953125,607.01575
2025-02-04,601.780029296875,617.20105
2025-02-05,604.219970703125,626.6619
2025-02-06,606.3200073242188,634.76965
2025-02-07,600.77001953125,640.65314
2025-02-10,604.8499755859375,641.90594
2025-02-11,605.3099975585938,640.33405
2025-02-12,603.3599853515625,635.7137
2025-02-13,609.72998046875,627.6904
2025-02-14,609.7000122070312,619.04834
2025-02-18,611.489990234375,620.5542
2025-02-19,612.9299926757812,623.67017
2025-02-20,610.3800048828125,627.1162
2025-02-21,599.9400024414062,630.1434
2025-02-24,597.2100219726562,628.9003
2025-02-25,594.239990234375,623.6978
2025-02-26,594.5399780273438,615.3703
2025-02-27,585.0499877929688,606.82446
2025-02-28,594.1799926757812,596.27966
2025-03-03,583.77001953125,590.42706
2025-03-04,576.8599853515625,584.85596
2025-03-05,583.0599975585938,577.8541
2025-03-06,572.7100219726562,573.40375
2025-03-07,575.9199829101562,568.0932
2025-03-10,560.5800170898438,564.84454
2025-03-11,555.9199829101562,557.9991
2025-03-12,558.8699951171875,551.1291
2025-03-13,551.4199829101562,546.4476
2025-03-14,562.8099975585938,540.95465
2025-03-17,567.1500244140625,540.5073
2025-03-18,561.02001953125,543.88983
2025-03-19,567.1300048828125,548.6003
2025-03-20,565.489990234375,556.445
2025-03-21,563.97998046875,563.9869
2025-03-24,574.0800170898438,570.0454
2025-03-25,575.4600219726562,575.8128
2025-03-26,568.5900268554688,581.8451
2025-03-27,567.0800170898438,585.1849
2025-03-28,555.6599731445312,587.2251
2025-03-31,559.3900146484375,584.0414
2025-04-01,560.969970703125,579.247
2025-04-02,564.52001953125,576.38885
2025-04-03,536.7000122070312,575.2289
2025-04-04,505.2799987792969,568.5944
2025-04-07,504.3800048828125,553.8316
2025-04-08,496.4800109863281,535.12445
2025-04-09,548.6199951171875,514.49133
2025-04-10,524.5800170898438,508.40292
2025-04-11,533.9400024414062,504.74265
2025-04-14,539.1199951171875,507.22675
2025-04-15,537.6099853515625,514.05084
2025-04-16,525.6599731445312,522.37775
2025-04-17,526.4099731445312,528.09924
2025-04-21,513.8800048828125,531.88617
2025-04-22,527.25,529.6247
2025-04-23,535.4199829101562,527.05273
2025-04-24,546.6900024414062,528.58514
2025-04-25,550.6400146484375,533.95984
2025-04-28,550.8499755859375,541.5376
2025-04-29,554.3200073242188,546.23627
2025-04-30,554.5399780273438,548.5631
2025-05-01,558.469970703125,550.6065
2025-05-02,566.760009765625,553.371
2025-05-05,563.510009765625,557.89856
2025-05-06,558.7999877929688,562.2993
2025-05-07,561.1500244140625,565.26855
2025-05-08,565.0599975585938,568.3637
2025-05-09,564.3400268554688,571.39575
2025-05-12,582.989990234375,574.43414
2025-05-13,586.8400268554688,580.9142
2025-05-14,587.5900268554688,588.3965
2025-05-15,590.4600219726562,594.3558
2025-05-16,594.2000122070312,600.4561
2025-05-19,594.8499755859375,606.86127
2025-05-20,592.8499755859375,613.06085
2025-05-21,582.8599853515625,617.37744
2025-05-22,583.0900268554688,617.3131
2025-05-23,579.1099853515625,615.4079
2025-05-27,591.1500244140625,611.947
2025-05-28,587.72998046875,610.9313
2025-05-29,590.0499877929688,611.51526
