,test_actual,test_forecast
2025-08-31,108236.7109375,70663.57509019741
2025-09-01,109250.59375,70705.61985987826
2025-09-02,111200.5859375,70791.05931161546
2025-09-03,111723.2109375,70906.73154750679
2025-09-04,110723.6015625,70780.26137082194
2025-09-05,110650.984375,70861.02111276682
2025-09-06,110224.6953125,70928.58276934423
2025-09-07,111167.6171875,71034.73996196719
2025-09-08,112071.4296875,71076.78473164792
2025-09-09,111530.546875,71162.22418338525
2025-09-10,113955.359375,71277.8964192766
2025-09-11,115507.5390625,71151.42624259171
2025-09-12,116101.578125,71232.18598453642
2025-09-13,115950.5078125,71299.74764111439
2025-09-14,115407.65625,71405.90483373697
2025-09-15,115444.875,71447.94960341774
2025-09-16,116843.1875,71533.38905515509
2025-09-17,116468.5078125,71649.06129104631
2025-09-18,117137.203125,71522.59111436146
2025-09-19,115688.859375,71603.35085630637
2025-09-20,115721.9609375,71670.91251288382
2025-09-21,115306.09375,71777.06970550674
2025-09-22,112748.5078125,71819.11447518742
2025-09-23,112014.5,71904.55392692516
2025-09-24,113328.6328125,72020.22616281625
2025-09-25,109049.2890625,71893.75598613123
2025-09-26,109712.828125,71974.5157280761
2025-09-27,109681.9453125,72042.07738465378
2025-09-28,112122.640625,72148.23457727676
2025-09-29,114400.3828125,72190.2793469576
2025-09-30,114056.0859375,72275.71879869522
2025-10-01,118648.9296875,72391.39103458624
2025-10-02,120681.2578125,72264.920857901
2025-10-03,122266.53125,72345.68059984606
2025-10-04,122425.4296875,72413.24225642353
2025-10-05,123513.4765625,72519.3994490463
2025-10-06,124752.53125,72561.44421872741
2025-10-07,121451.3828125,72646.88367046484
2025-10-08,123354.8671875,72762.55590635605
2025-10-09,121705.5859375,72636.08572967122
2025-10-10,113214.3671875,72716.84547161592
2025-10-11,110807.8828125,72784.40712819326
2025-10-12,115169.765625,72890.56432081641
2025-10-13,115271.078125,72932.60909049735
2025-10-14,113118.6640625,73018.04854223492
2025-10-15,110783.1640625,73133.72077812576
2025-10-16,108186.0390625,73007.25060144097
2025-10-17,106467.7890625,73088.01034338561
2025-10-18,107198.265625,73155.5719999634
2025-10-19,108666.7109375,73261.72919258618
2025-10-20,110588.9296875,73303.773962267
2025-10-21,108476.890625,73389.21341400476
2025-10-22,107688.5859375,73504.88564989547
2025-10-23,110069.7265625,73378.41547321076
2025-10-24,111033.921875,73459.17521515545
2025-10-25,111641.7265625,73526.73687173316
2025-10-26,114472.4453125,73632.89406435595
2025-10-27,114119.328125,73674.93883403693
2025-10-28,112956.1640625,73760.37828577434
2025-10-29,110055.3046875,73876.05052166541
2025-10-30,108305.546875,73749.58034498052
2025-10-31,109556.1640625,73830.34008692541
2025-11-01,110064.015625,73897.9017435031
2025-11-02,110639.625,74004.0589361258
2025-11-03,106547.5234375,74046.10370580658
2025-11-04,101590.5234375,74131.54315754418
2025-11-05,103891.8359375,74247.21539343511
2025-11-06,101301.2890625,74120.74521675026
2025-11-07,103372.40625,74201.50495869527
2025-11-08,102282.1171875,74269.06661527276
2025-11-09,104719.640625,74375.22380789559
2025-11-10,105996.59375,74417.26857757677
2025-11-11,102997.46875,74502.70802931425
2025-11-12,101663.1875,74618.38026520534
2025-11-13,99697.4921875,74491.91008852048
2025-11-14,94397.7890625,74572.66983046522
2025-11-15,95549.1484375,74640.2314870427
2025-11-16,94177.078125,74746.38867966534
2025-11-17,92093.875,74788.43344934646
2025-11-18,92948.875,74873.87290108409
2025-11-19,91465.9921875,74989.54513697505
2025-11-20,86631.8984375,74863.07496029025
2025-11-21,85090.6875,74943.83470223498
2025-11-22,84648.359375,75011.39635881265
2025-11-23,86805.0078125,75117.55355143537
2025-11-24,88270.5625,75159.59832111627
2025-11-25,87341.890625,75245.03777285416
2025-11-26,90518.3671875,75360.71000874486
2025-11-27,91285.375,75234.23983206002
2025-11-28,90919.265625,75314.99957400492
2025-11-29,90851.7578125,75382.56123058233
2025-11-30,90394.3125,75488.71842320541
2025-12-01,86321.5703125,75530.7631928862
2025-12-02,91350.203125,75616.20264462379
2025-12-03,93527.8046875,75731.87488051468
2025-12-04,92141.625,75605.40470382979
2025-12-05,89387.7578125,75686.16444577463
2025-12-06,89272.375,75753.72610235206
2025-12-07,90405.640625,75859.88329497518
2025-12-08,90640.203125,75901.92806465612
2025-12-09,92691.7109375,75987.36751639338
2025-12-10,92020.9453125,76103.03975228479
2025-12-11,92511.3359375,75976.56957559957
2025-12-12,90270.4140625,76057.32931754449
2025-12-13,90298.7109375,76124.89097412219
2025-12-14,88175.1796875,76231.04816674495
2025-12-15,86419.78125,76273.09293642579
2025-12-16,87843.984375,76358.5323881632
2025-12-17,86143.7578125,76474.2046240545
2025-12-18,85462.5078125,76347.73444736932
2025-12-19,88103.3828125,76428.49418931434
2025-12-20,88344.0,76496.05584589195
2025-12-21,88621.75,76602.21303851482
2025-12-22,88490.015625,76644.25780819546
2025-12-23,87414.0,76729.69725993327
2025-12-24,87611.9609375,76845.36949582443
2025-12-25,87234.7421875,76718.89931913909
2025-12-26,87301.4296875,76799.65906108402
2025-12-27,87802.15625,76867.22071766188
2025-12-28,87835.8359375,76973.37791028486
2025-12-29,87138.140625,77015.42267996538
2025-12-30,88430.1328125,77100.8621317031
2025-12-31,87508.828125,77216.53436759413
2026-01-01,88731.984375,77090.0641909093
2026-01-02,89944.6953125,77170.82393285388
2026-01-03,90603.1875,77238.38558943162
2026-01-04,91413.4921875,77344.54278205437
2026-01-05,93882.5546875,77386.5875517357
2026-01-06,93729.03125,77472.0270034727
2026-01-07,91308.0546875,77587.69923936398
2026-01-08,91027.125,77461.22906267908
2026-01-09,90513.1015625,77541.98880462382
2026-01-10,90386.6484375,77609.55046120156
2026-01-11,90827.4609375,77715.70765382439
2026-01-12,91192.9921875,77757.75242350539
2026-01-13,95321.78125,77843.19187524254
2026-01-14,96929.328125,77958.86411113368
2026-01-15,95551.1875,77832.39393444882
2026-01-16,95525.1171875,77913.15367639357
