Date,test_actual,test_forecast
2025-01-16,228.25999450683597,179.10924
2025-01-17,229.97999572753903,189.71776
2025-01-21,222.63999938964844,198.39363
2025-01-22,223.8300018310547,203.21693
2025-01-23,223.66000366210935,207.06879
2025-01-24,222.77999877929688,209.86604
2025-01-27,229.8600006103516,211.5295
2025-01-28,238.25999450683597,214.64041
2025-01-29,239.3600006103516,219.14816
2025-01-30,237.58999633789065,222.84698
2025-01-31,236.0,224.74216
2025-02-03,228.00999450683597,225.1528
2025-02-04,232.8000030517578,219.74681
2025-02-05,232.47000122070312,221.54309
2025-02-06,233.22000122070312,222.45348
2025-02-07,227.6300048828125,223.20337
2025-02-10,227.6499938964844,220.07896
2025-02-11,232.6199951171875,219.2699
2025-02-12,236.8699951171875,221.84325
2025-02-13,241.52999877929688,224.76688
2025-02-14,244.6000061035156,227.77942
2025-02-18,244.47000122070312,230.65866
2025-02-19,244.8699951171875,232.67921
2025-02-20,245.8300018310547,233.83832
2025-02-21,245.5500030517578,234.89894
2025-02-24,247.1000061035156,235.37946
2025-02-25,247.0399932861328,236.45505
2025-02-26,240.3600006103516,237.05188
2025-02-27,237.3000030517578,233.12558
2025-02-28,241.83999633789065,229.71233
2025-03-03,238.02999877929688,232.09538
2025-03-04,235.92999267578125,231.4548
2025-03-05,235.7400054931641,229.47113
2025-03-06,235.3300018310547,228.84145
2025-03-07,239.07000732421875,228.49092
2025-03-10,227.47999572753903,230.04993
2025-03-11,220.83999633789065,223.15138
2025-03-12,216.97999572753903,215.98288
2025-03-13,209.67999267578125,211.8227
2025-03-14,213.4900054931641,206.31378
2025-03-17,214.0,207.63388
2025-03-18,212.69000244140625,208.7098
2025-03-19,215.2400054931641,208.20744
2025-03-20,214.1000061035156,208.75961
2025-03-21,218.2700042724609,208.3499
2025-03-24,220.72999572753903,209.4691
2025-03-25,223.75,210.78587
2025-03-26,221.52999877929688,212.4241
2025-03-27,223.8500061035156,212.73691
2025-03-28,217.8999938964844,213.81535
2025-03-31,222.1300048828125,210.82881
2025-04-01,223.19000244140625,212.11166
2025-04-02,223.88999938964844,213.2545
2025-04-03,203.19000244140625,214.07239
2025-04-04,188.3800048828125,200.56062
2025-04-07,181.4600067138672,185.53981
2025-04-08,172.4199981689453,178.01543
2025-04-09,198.8500061035156,171.82516
2025-04-10,190.4199981689453,182.41422
2025-04-11,198.1499938964844,185.28223
2025-04-14,202.5200042724609,187.93501
2025-04-15,202.13999938964844,190.52963
2025-04-16,194.2700042724609,192.26842
2025-04-17,196.97999572753903,190.33589
2025-04-21,193.16000366210935,190.79674
2025-04-22,199.7400054931641,188.2747
2025-04-23,204.6000061035156,190.47238
2025-04-24,208.3699951171875,192.87611
2025-04-25,209.27999877929688,195.43422
2025-04-28,210.13999938964844,197.52432
2025-04-29,211.2100067138672,199.27713
2025-04-30,212.5,200.8117
2025-05-01,213.32000732421875,202.23625
2025-05-02,205.3500061035156,203.34543
2025-05-05,198.88999938964844,198.8967
2025-05-06,198.50999450683597,192.54572
2025-05-07,196.25,190.65244
2025-05-08,197.4900054931641,189.54147
2025-05-09,198.52999877929688,190.42793
2025-05-12,210.7899932861328,191.70552
2025-05-13,212.92999267578125,195.40904
2025-05-14,212.3300018310547,198.49742
2025-05-15,211.4499969482422,200.62296
2025-05-16,211.25999450683597,201.9641
2025-05-19,208.77999877929688,202.74973
2025-05-20,206.8600006103516,201.5371
2025-05-21,202.08999633789065,199.4849
2025-05-22,201.3600006103516,195.532
2025-05-23,195.2700042724609,193.86037
2025-05-27,200.2100067138672,189.70747
2025-05-28,200.4199981689453,191.89595
2025-05-29,199.9499969482422,193.25502
2025-05-30,200.8500061035156,193.55582
2025-06-02,201.6999969482422,194.05904
2025-06-03,203.2700042724609,194.60313
2025-06-04,202.82000732421875,195.47626
2025-06-05,200.6300048828125,195.69258
2025-06-06,203.9199981689453,194.09506
2025-06-09,201.4499969482422,195.41362
2025-06-10,202.6699981689453,194.58531
2025-06-11,198.77999877929688,194.9833
2025-06-12,199.1999969482422,192.54002
