Date,adj close,close,high,low,open,volume,daily_return,log_return,realized_vol_5d,realized_vol_20d,realized_vol_60d
2021-01-19,124.4364013671875,127.83000183105469,128.7100067138672,126.94000244140625,127.77999877929688,90757300,,,,,
2021-01-20,128.52491760253906,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500,0.0328561127128284,0.03232788974139082,,,
2021-01-21,133.23638916015625,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900,0.03665830782882318,0.036002374302895025,,,
2021-01-22,135.3780059814453,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400,0.016073736286376095,0.015945921607861922,,,
2021-01-25,139.1258087158203,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700,0.027683832904034755,0.02730756418724629,,,
2021-01-26,139.35939025878906,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600,0.0016792995818566414,0.0016778911348962942,0.2214500026127235,,
2021-01-27,138.2886199951172,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800,-0.007683752971338942,-0.007713425094436053,0.28466045235580767,,
2021-01-28,133.45057678222656,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100,-0.03498522670784365,-0.03561186864929152,0.3831299410167663,,
2021-01-29,128.4567413330078,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800,-0.037420597863168426,-0.03813872049620482,0.4332884813475227,,
2021-02-01,130.57888793945312,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800,0.01652010127968695,0.01638512888305546,0.3764647715372165,,
2021-02-02,131.40634155273438,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400,0.0063367087176327,0.006316716192370748,0.3888475982922835,,
2021-02-03,130.38421630859375,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900,-0.007778376242906226,-0.007808785604338064,0.3887857798491833,,
2021-02-04,133.74264526367188,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100,0.025757778746879012,0.02543163578386712,0.39445236454189125,,
2021-02-05,133.32827758789062,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800,-0.004585522131241526,-0.004596067888735259,0.22195029627355037,,
2021-02-08,133.47454833984375,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200,0.0010968789214593766,0.0010962777893145012,0.20795225236210785,,
2021-02-09,132.59710693359375,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200,-0.006573728224378961,-0.006595430337242815,0.21913686593042922,,
2021-02-10,131.9926300048828,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600,-0.004558452630158305,-0.004568874057798494,0.2115363926678371,,
2021-02-11,131.73919677734375,135.1300048828125,136.38999938964844,133.77000427246094,135.89999389648438,64280000,-0.0019203376025409558,-0.0019221838147405867,0.04720754192809829,,
2021-02-12,131.97315979003906,135.3699951171875,135.52999877929688,133.69000244140625,134.35000610351562,60145100,0.0017759951580194056,0.00177441994339202,0.0569865084720751,,
2021-02-16,129.84786987304688,133.19000244140625,136.00999450683594,132.7899932861328,135.49000549316406,80576300,-0.016103957704172722,-0.016235035584380688,0.10738065068255159,,
2021-02-17,127.55684661865234,130.83999633789062,132.22000122070312,129.47000122070312,131.25,97918500,-0.017644012767020212,-0.017801523862226845,0.1392590100510005,0.32142122875892387,
2021-02-18,126.4551773071289,129.7100067138672,130.0,127.41000366210938,129.1999969482422,96856700,-0.008636423537534132,-0.008673933567785534,0.13636957058056343,0.30099677908447836,
2021-02-19,126.61115264892578,129.8699951171875,130.7100067138672,128.8000030517578,130.24000549316406,87668800,0.0012334314627955312,0.0012326714111257225,0.14745012086561457,0.2679713555111056,
2021-02-22,122.83827209472656,126.0,129.72000122070312,125.5999984741211,128.00999450683594,103916400,-0.029798993321709433,-0.03025200557282639,0.18502102482910085,0.2755764636686513,
2021-02-23,122.7017822265625,125.86000061035156,126.70999908447266,118.38999938964844,123.76000213623047,158273000,-0.0011111062670511318,-0.0011117240032422343,0.20532973373230134,0.24862154439032907,
2021-02-24,122.20459747314453,125.3499984741211,125.55999755859375,122.2300033569336,124.94000244140625,111039900,-0.004052138358153767,-0.004060370516880425,0.20113933717871163,0.24699133934906417,
2021-02-25,117.95399475097656,120.98999786376953,126.45999908447266,120.54000091552734,124.68000030517578,148199500,-0.0347826139882379,-0.03540193253422548,0.2771312984260318,0.2673032136710149,
2021-02-26,118.21722412109375,121.26000213623047,124.8499984741211,121.19999694824219,122.58999633789062,164560400,0.002231624739467808,0.002229138363397372,0.2806316545450506,0.2486048008988932,
2021-03-01,124.58335876464844,127.79000091552734,127.93000030517578,122.79000091552734,123.75,116307900,0.05385121774911972,0.05245128052439601,0.5012001728406625,0.2971554809223024,
2021-03-02,121.98037719726562,125.12000274658203,128.72000122070312,125.01000213623047,128.41000366210938,102260900,-0.02089363917220921,-0.02111500003633978,0.5303593194399078,0.2968572367649523,
2021-03-03,118.99714660644531,122.05999755859375,125.70999908447266,121.83999633789062,124.80999755859375,112966300,-0.024456562666370862,-0.02476059163392446,0.5571280401021512,0.3036721267708322,
