Date,adj close,close,high,low,open,volume,daily_return,log_return,realized_vol_5d,realized_vol_20d,realized_vol_60d,parkinson_vol_20d,garman_klass_vol_20d,vol_of_vol_20d,leverage_effect,vol_lag_1d,vol_lag_5d,vol_lag_20d,volume_ratio,volume_trend,daily_range,avg_range,range_volatility,squared_return,ma_squared_return,squared_return_deviation
2021-01-19,124.4364013671875,127.83000183105467,128.7100067138672,126.94000244140624,127.77999877929688,90757300,,,,,,,,,,,,,,,0.013846548127256239,,,,,
2021-01-20,128.52491760253906,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500,0.0328561127128284,0.0323278897413908,,,,,,,,,,,,,0.029841721410544062,,,0.0010450924551315206,,
2021-01-21,133.23638916015625,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900,0.0366583078288231,0.036002374302895,,,,,,,,,,,,,0.04442172899801024,,,0.0012961709554457541,,
2021-01-22,135.3780059814453,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400,0.016073736286376,0.0159459216078619,,,,,,,,,,,,,0.034730722489963894,,,0.0002542724159240771,,
2021-01-25,139.1258087158203,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700,0.0276838329040347,0.0273075641872462,,,,,,,,,,,,,0.05982369970121941,,,0.0007457030618405712,,
2021-01-26,139.35939025878906,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600,0.0016792995818566,0.0016778911348962,0.2214500026127235,,,,,,,,,,,,0.02046666568607952,,,2.815318660563258e-06,,
2021-01-27,138.2886199951172,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800,-0.0076837529713389,-0.007713425094436,0.2846604523558076,,,,,,,,,,,,0.027382792175847933,,,5.949692668747502e-05,,
2021-01-28,133.45057678222656,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100,-0.0349852267078436,-0.0356118686492915,0.3831299410167663,,,,,,,,,,,,0.03858785240524335,,,0.0012682051886943907,,
2021-01-29,128.4567413330078,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800,-0.0374205978631684,-0.0381387204962048,0.4332884813475227,,,,,,,,,,,,0.04948468056277131,,,0.0014545620010876321,,
2021-02-01,130.57888793945312,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800,0.0165201012796869,0.0163851288830554,0.3764647715372165,,,,,,,,,,,,0.033174386665269784,,,0.00026847244851433625,,
