Date,adj close,close,high,low,open,volume,daily_return,log_return,realized_vol_5d,realized_vol_20d,realized_vol_60d
2021-01-18,36630.07421875,36630.07421875,37299.28515625,34883.84375,35792.23828125,49511702429,,,,,
2021-01-19,36069.8046875,36069.8046875,37755.890625,36069.8046875,36642.234375,57244195486,-0.015295342507474663,-0.015413522880192659,,,
2021-01-20,35547.75,35547.75,36378.328125,33570.4765625,36050.11328125,66834573161,-0.014473454791977813,-0.014579216975338103,,,
2021-01-21,30825.69921875,30825.69921875,35552.6796875,30250.75,35549.3984375,75643067688,-0.1328368400602007,-0.14252813081835994,,,
2021-01-22,33005.76171875,33005.76171875,33811.8515625,28953.373046875,30817.625,77207272511,0.07072224005462169,0.06833341147530216,,,
2021-01-23,32067.642578125,32067.642578125,33360.9765625,31493.16015625,32985.7578125,48354737975,-0.02842289017956734,-0.028834641394269323,1.1965608180823741,,
2021-01-24,32289.37890625,32289.37890625,32944.0078125,31106.685546875,32064.376953125,48643830599,0.006914643868341619,0.006890847351743181,1.2199513831435977,,
2021-01-25,32366.392578125,32366.392578125,34802.7421875,32087.787109375,32285.798828125,59897054838,0.0023851084933719235,0.0023822686367903426,1.232455734861096,,
2021-01-26,32569.849609375,32569.849609375,32794.55078125,31030.265625,32358.61328125,60255421470,0.006286058316783416,0.006266383460683916,0.5605452588929783,,
2021-01-27,30432.546875,30432.546875,32564.029296875,29367.138671875,32564.029296875,62576762015,-0.06562212475675022,-0.06787434522440919,0.5151939828140621,,
2021-01-28,33466.09765625,33466.09765625,33858.3125,30023.20703125,30441.041015625,76517157706,0.09968113394222766,0.0950202595471698,0.9175614574039538,,
2021-01-29,34316.38671875,34316.38671875,38406.26171875,32064.814453125,34318.671875,117894572511,0.02540747568580648,0.025090070847817985,0.9245740173950883,,
2021-01-30,34269.5234375,34269.5234375,34834.70703125,32940.1875,34295.93359375,65141828798,-0.0013656239986477026,-0.0013665573129015413,0.9274545526786192,,
2021-01-31,33114.359375,33114.359375,34288.33203125,32270.17578125,34270.87890625,52754542671,-0.03370820328466961,-0.034289423389572346,0.9846015809582395,,
2021-02-01,33537.17578125,33537.17578125,34638.21484375,32384.228515625,33114.578125,61400400660,0.012768370405776608,0.0126875420679964,0.757567446390778,,
2021-02-02,35510.2890625,35510.2890625,35896.8828125,33489.21875,33533.19921875,63088585433,0.05883361479570781,0.057167938879420434,0.5344100673767154,,
2021-02-03,37472.08984375,37472.08984375,37480.1875,35443.984375,35510.8203125,61166818159,0.055245981743407446,0.053773897801538996,0.6122781080390658,,
2021-02-04,36926.06640625,36926.06640625,38592.17578125,36317.5,37475.10546875,68838074392,-0.014571470120209207,-0.01467867670382311,0.6446861160208631,,
